name,region,vsl
Afghanistan,South Asia,188279.52
Albania,Europe,2465878
Algeria,Africa,1994303.5
American Samoa,Australia and Oceania,1871702.9
Andorra,Europe,6372678.5
Angola,Africa,1003208.8
Antigua and Barbuda,Central America and the Caribbean,3612777.5
Argentina,South America,3735487.8
Armenia,Middle East,2220603.3
Aruba,Central America and the Caribbean,5666191.5
Australia,Australia and Oceania,8465062
Austria,Europe,7710045
Azerbaijan,Middle East,2292047.8
"Bahamas, The",Central America and the Caribbean,5824258.5
Bahrain,Middle East,8900586
Bangladesh,South Asia,1048235.2
Barbados,Central America and the Caribbean,2112817.3
Belarus,Europe,2271979
Belgium,Europe,7837646
Belize,Central America and the Caribbean,1646533.6
Benin,Africa,568195.44
Bermuda,North America,11466223
Bhutan,South Asia,1820035.1
Bolivia,South America,1373345.9
Bosnia and Herzegovina,Europe,2053523.9
Botswana,Africa,2222683.5
Brazil,South America,2270009
British Virgin Islands,Central America and the Caribbean,5191260
Brunei,East and Southeast Asia,9981077
Bulgaria,Europe,3054068.8
Burkina Faso,Africa,365247.63
Burma,East and Southeast Asia,605340.56
Burundi,Africa,126942.71
Cabo Verde,Africa,1228560.4
Cambodia,East and Southeast Asia,714258.06
Cameroon,Africa,611579.94
Canada,North America,7437770.5
Cayman Islands,Central America and the Caribbean,10759736
Central African Republic,Africa,105086.24
Chad,Africa,221191.94
Chile,South America,4101501.5
China,East and Southeast Asia,2556733.5
Colombia,South America,2402096.3
Comoros,Africa,526598.88
"Congo, Democratic Republic of the",Africa,183426.56
"Congo, Republic of the",Africa,704734.63
Cook Islands,Australia and Oceania,2077642.5
Costa Rica,Central America and the Caribbean,3612631.8
Cote d'Ivoire,Africa,842879.25
Croatia,Europe,4080046
Cuba,Central America and the Caribbean,1683021.9
Curacao,Central America and the Caribbean,3548521.8
Cyprus,Europe,6682827.5
Czechia,Europe,5158858.5
Denmark,Europe,8720734
Djibouti,Africa,722467.94
Dominica,Central America and the Caribbean,1749795.3
Dominican Republic,Central America and the Caribbean,3056331
Ecuador,South America,1865317.4
Egypt,Africa,2363272.8
El Salvador,Central America and the Caribbean,1584613
Equatorial Guinea,Africa,2272563
Eritrea,Africa,269721.34
Estonia,Europe,4594531
Eswatini,Africa,1198676.4
Ethiopia,Africa,414214.91
Faroe Islands,Europe,6553294.5
Fiji,Australia and Oceania,1954604.3
Finland,Europe,7011806
France,Europe,6699248
French Polynesia,Australia and Oceania,2959053.5
Gabon,Africa,2454785.5
"Gambia, The",Africa,369334.34
Gaza Strip,Middle East,1164705.9
Georgia,Middle East,2152626.3
Germany,Europe,6915988.5
Ghana,Africa,977338.44
Gibraltar,Europe,9928351
Greece,Europe,4094641.8
Greenland,North America,5978823.5
Grenada,Central America and the Caribbean,2163937.5
Guam,Australia and Oceania,6196147.5
Guatemala,Central America and the Caribbean,1634820.9
Guernsey,Europe,7394349
Guinea,Africa,445302.91
Guinea-Bissau,Africa,319600.81
Guyana,South America,5728514
Haiti,Central America and the Caribbean,414798.72
Honduras,Central America and the Caribbean,985840.25
Hong Kong,East and Southeast Asia,7855196.5
Hungary,Europe,4030057.5
Iceland,Europe,9332242
India,South Asia,994816.38
Indonesia,East and Southeast Asia,1904834
Iran,Middle East,2364075.5
Iraq,Middle East,1722100.6
Ireland,Europe,17143360
Isle of Man,Europe,11606775
Israel,Middle East,8586422
Italy,Europe,5592850
Jamaica,Central America and the Caribbean,1673133.5
Japan,East and Southeast Asia,5358230
Jersey,Europe,9252259
Jordan,Middle East,1785189
Kazakhstan,Central Asia,3942704.5
Kenya,Africa,879659.44
Kiribati,Australia and Oceania,300663.41
"Korea, North",East and Southeast Asia,233233.06
"Korea, South",East and Southeast Asia,6306050.5
Kosovo,Europe,1904578.6
Kuwait,Middle East,8886428
Kyrgyzstan,Central Asia,829962.44
Laos,East and Southeast Asia,1256802.3
Latvia,Europe,3720710
Lebanon,Middle East,2034951.1
Lesotho,Africa,291395.41
Liberia,Africa,228234.16
Libya,Africa,3720709.5
Liechtenstein,Europe,19693016
Lithuania,Europe,4524546.5
Luxembourg,Europe,18681816
Macau,East and Southeast Asia,8089597.5
Madagascar,Africa,259979
Malawi,Africa,288439.84
Malaysia,East and Southeast Asia,4642476.5
Maldives,South Asia,3536261.5
Mali,Africa,358606.81
Malta,Europe,7111054.5
Marshall Islands,Australia and Oceania,1088080.4
Mauritania,Africa,847038.94
Mauritius,Africa,2978319.5
Mexico,North America,3244318.8
"Micronesia, Federated States of",Australia and Oceania,563524.94
Moldova,Europe,1465588
Monaco,Europe,13889373
Mongolia,East and Southeast Asia,1783693
Montenegro,Europe,2991710.3
Montserrat,Central America and the Caribbean,4875563.5
Morocco,Africa,1288620
Mozambique,Africa,194482.52
Namibia,Africa,1541192
Nauru,Australia and Oceania,1637593.9
Nepal,South Asia,662627.13
Netherlands,Europe,8575621
New Caledonia,Australia and Oceania,5861842.5
New Zealand,Australia and Oceania,7421715.5
Nicaragua,Central America and the Caribbean,967158.25
Niger,Africa,216776.86
Nigeria,Africa,782673.56
North Macedonia,Europe,2296134.5
Northern Mariana Islands,Australia and Oceania,3996013.5
Norway,Europe,10369057
Oman,Middle East,6453061.5
Pakistan,South Asia,933954
Palau,Australia and Oceania,2052793.9
Panama,Central America and the Caribbean,5795834
Papua New Guinea,East and Southeast Asia,671092.38
Paraguay,South America,2315181.5
Peru,South America,1793362.4
Philippines,East and Southeast Asia,1415234.4
Poland,Europe,4649554.5
Portugal,Europe,4637295
Puerto Rico,Central America and the Caribbean,4505572.5
Qatar,Middle East,16213933
Romania,Europe,3723629
Russia,Central Asia,3050420.3
Rwanda,Africa,401079.16
Saint Kitts and Nevis,Central America and the Caribbean,4098363.5
Saint Lucia,Central America and the Caribbean,2187362.8
Saint Vincent and the Grenadines,Central America and the Caribbean,2109606.3
Samoa,Australia and Oceania,916439.5
San Marino,Europe,8563653
Sao Tome and Principe,Africa,581842.06
Saudi Arabia,Middle East,8206067
Senegal,Africa,675179.06
Serbia,Europe,2394579.8
Seychelles,Africa,3484922.3
Sierra Leone,Africa,233524.98
Singapore,East and Southeast Asia,18639670
Sint Maarten,Central America and the Caribbean,5916683.5
Slovakia,Europe,4167253
Slovenia,Europe,5370709.5
Solomon Islands,Australia and Oceania,417425.88
Somalia,Africa,191052.63
South Africa,Africa,2044255.8
South Sudan,Africa,242865.97
Spain,Europe,5309920.5
Sri Lanka,South Asia,1900820.5
Sudan,Africa,637085.38
Suriname,South America,2227609.3
Sweden,Europe,8434412
Switzerland,Europe,10473267
Syria,Middle East,536487.19
Taiwan,East and Southeast Asia,6453317
Tajikistan,Central Asia,734545.56
Tanzania,Africa,490475.47
Thailand,East and Southeast Asia,2343459.5
Timor-Leste,East and Southeast Asia,710098.38
Togo,Africa,412609.44
Tonga,Australia and Oceania,1159633.9
Trinidad and Tobago,Central America and the Caribbean,3230672.3
Tunisia,Africa,1659268
Turkey (Turkiye),Middle East,5157143.5
Turkmenistan,Central Asia,2209876
Turks and Caicos Islands,Central America and the Caribbean,3398883.5
Tuvalu,Australia and Oceania,691525.88
Uganda,Africa,448988.22
Ukraine,Europe,999486.88
United Arab Emirates,Middle East,12052407
United Kingdom,Europe,7190525.5
United States,North America,9900000
Uruguay,South America,3774931.5
Uzbekistan,Central Asia,1397975.3
Vanuatu,Australia and Oceania,522074.25
Venezuela,South America,1222809.8
Vietnam,East and Southeast Asia,1788655.4
Virgin Islands,Central America and the Caribbean,5089749.5
West Bank,Middle East,1135588.1
Yemen,Middle East,421439.59
Zambia,Africa,601691.69
Zimbabwe,Africa,369261.34
